Genus,species,amphistomy_presence,native,woody,R analog,leaf_angle,leaf_waxyness,leaf_pubescence,resprout vs seed,family
Argemone,mexicana,1,2,0,argemone_mexicana,1,2,0,0,Papaveraceae
Asimina,obovata,0,3,2,asimina_obovata,0,1,0,1,Annonaceae
Asimina,reticulata,0,2,2,asimina_angustifolia,2,1,0,0,Annonaceae
Baccaris,hamilifolia,1,2,2,baccharis_halimifolia,2,0,1,0,Asteraceae
Balduina,angustifolia,1,2,0,balduina_angustifolia,0,0,0,2,Asteraceae
Bejaria,racemosa,1,2,2,bejaria_racemosa,2,1,0,1,Ericaceae
Bidens,alba,1,2,0,bidens_alba,0,0,0,0,Asteraceae
Buchnera,floridana,1,2,0,buchnera_floridana,1,0,0,0,Orobanchaceae
Calamintha,ashei,1,2,2,clinopodium_debile,2,0,3,2,Lamiaceae
Callicarpa,americana,0,2,2,callicarpa_americana,0,0,1,0,Lamiaceae
Callisia,ornata,0,2,0,callisia_fragrans,2,1,0,0,Commelinaceae
Carphephorus,corymbosus ,1,2,0,carphephorus_pseudoliatris,1,0,0,1,Asteraceae
Carya,floridana,0,3,2,carya_sinensis,0,1,0,1,Juglandaceae
Catharanthus ,roseus,1,1,1,catharanthus_roseus,0,2,0,0,Apocynaceae
Ceratiola,ericoides,0,2,2,ceratiola_ericoides,0,2,0,2,Ericaceae
Chamaecrista,fasciculata,1,2,0,chamaecrista_fasciculata,1,0,0,2,Fabaceae
Chapmannia,floridana,1,3,0,brya_ebenus,0,0,0,2,Fabaceae
Chionanthus ,pygmaeus,0,3,2,chionanthus_virginicus,0,2,0,0,Oleaceae
Chrysopsis,highlandsensis,1,3,0,chrysopsis_mariana,2,0,3,0,Asteraceae
Cirsium,nuttallii,1,2,0,cirsium_scariosum,1,2,0,0,Asteraceae
Clitoria,fragrans,0,3,0,clitoria_ternatea,0,0,0,0,Fabaceae
Cnidoscolus ,stimulosus,1,2,0,cnidoscolus_tubulosus,0,1,1,2,Euphorbiaceae
Commelina,erecta,1,2,0,commelina_virginica,0,1,1,0,Commelinaceae
Crotalaria,pallida,1,0,0,crotalaria_capensis,1,0,1,0,Fabaceae
Dalea,feayi,1,2,1,dalea_purpurea,0,0,0,2,Fabaceae
Desmodium,incanum,0,1,1,desmodium_elegans,,,,0,fabaceae
Dicerandra,frutescens,1,3,1,conradina_verticillata,1,0,0,0,Lamiaceae
Drosera,capillaris,1,2,0,drosera_capillaris,0,0,1,0,Droseraceae
Elephantopus,elatus,1,2,0,elephantopus_scaber,0,0,1,0,Asteraceae
Eriogonum,longifolium,1,3,0,eriogonum_lemmonii,1,0,2,0,Polygonaceae
Eryngium,cuneifolium,1,3,0,eryngium_caucasicum,2,2,0,2,Apiaceae
Eryngium,aromaticum,1,2,0,eryngium_articulatum,1,1,0,0,Apiaceae
Eryngium,yuccifolium,1,2,0,eryngium_yuccifolium,2,1,0,0,Apiaceae
