Genus,Species,Replicate,Amphistomy?,upper approx.,lower approx.,notes,,,,,,,,
argemone,mexicana,1,1,2,2,,,,,,,,,
argemone,mexicana,2,1,1,2,,,,,,,,,
argemone,mexicana,3,1,1,2,,,,,,,,,
asimina,obovata,1,0,0,2,,,,,,,,,
asimina,obovata,2,0,0,2,,,,,,,,,
asimina,reticulata,1,0,0,1,,,,,,,,,
asimina,reticulata,2,0,0,1,,,,,,,,,
asimina,reticulata,3,0,0,1,,,,,,,,,
Baccaris,hamilifolia,1,1,1,1,,,,,,,,,
Baccaris,hamilifolia,2,1,1,2,,,,,,,,,
Baccaris,hamilifolia,3,1,1,1,,,,,,,,,
balduina,angustifolia,1,1,1,1,,,,,,,,,
balduina,angustifolia,2,1,1,1,,,,,,,,,
balduina,angustifolia,3,1,1,1,,,,,,,,,
Bambusa,Species,1,1,1,2,confusing because grass,,,,,,,,
Bambusa,Species,2,1,1,2,,,,,,,,,
Bambusa,Species,3,1,1,1,,,,,,,,,
bejaria,racemosa,1,1,1,2,,,,,,,,,
bejaria,racemosa,2,1,1,2,,,,,,,,,
Bidens,alba,1,1,1,3,,,,,,,,,
Bidens,alba,2,1,1,3,,,,,,,,,
Bidens,alba,3,1,1,2,,,,,,,,,
Buchnera,floridana,1,1,1,2,,,,,,,,,
Buchnera,floridana,2,1,1,3,,,,,,,,,
Buchnera,floridana,3,1,1,2,,,,,,,,,
Calamintha,ashei,1,1,4,4,,,,,,,,,
callicarpa,americana,1,0,0,2,used (1),,,,,,,,
callicarpa,americana,2,0,0,2,used (1),,,,,,,,
callicarpa,americana,3,0,0,2,used (1),,,,,,,,
carphephorus,corumbosus,1,1,2,1,,,,,,,,,
carphephorus,corumbosus,2,1,2,1,,,,,,,,,
carphephorus,corumbosus,3,1,1,1,,,,,,,,,
Carya,floridana,1,0,0,4,,,,,,,,,
Carya,floridana,2,0,0,4,,,,,,,,,
Carya,floridana,3,0,0,4,,,,,,,,,
catharanthus ,roseus,1,1,1,3,,,,,,,,,
catharanthus ,roseus,2,1,2,3,,,,,,,,,
catharanthus ,roseus,3,1,1,4,,,,,,,,,
Chamaecrista,fasciculata,1,1,2,2,,,,,,,,,
Chamaecrista,fasciculata,2,1,2,2,,,,,,,,,
Chamaecrista,fasciculata,3,1,2,2,,,,,,,,,
chapmanii,floridana,2,1,1,2,used (1),,,,,,,,
chapmanii,floridana,3,1,2,2,used (1),,,,,,,,
chapmanii,floridana,1,1,2,2,used (1),,,,,,,,
Chionanthus ,pygmaeus,1,0,0,2,,,,,,,,,
Chionanthus ,pygmaeus,2,0,0,3,,,,,,,,,
Chionanthus ,pygmaeus,3,0,0,3,,,,,,,,,
chrysopsis,highlandsensis,1,1,1,1,,,,,,,,,
chrysopsis,highlandsensis,2,1,1,1,,,,,,,,,
chrysopsis,highlandsensis,3,1,1,1,,,,,,,,,
Cirsium,nuttallii,1,1,1,2,,,,,,,,,
Cirsium,nuttallii,2,1,1,2,,,,,,,,,
Cirsium,nuttallii,3,1,1,2,,,,,,,,,
clitoria,fragrans,1,0,0,1,,,,,,,,,
clitoria,fragrans,2,0,0,1,,,,,,,,,
clitoria,fragrans,3,0,0,2,,,,,,,,,
Cnidoscolus ,stimulosus,1,1,1,3,,,,,,,,,
Cnidoscolus ,stimulosus,2,1,2,3,,,,,,,,,
commelina,erecta,1,1,1,1,,,,,,,,,
commelina,erecta,2,1,1,2,,,,,,,,,
commelina,erecta,3,1,1,2,,,,,,,,,
