Genus,Species,Replicate,Amphistomy?,,,,,,,,
argemone,mexicana,1,1,,,,,,,,
argemone,mexicana,2,1,,,,,,,,
argemone,mexicana,3,1,,,,,,,,
asimina,obovata,1,0,,,,,,,,
asimina,obovata,2,0,,,,,,,,
asimina,reticulata,1,0,,,,,,,,
asimina,reticulata,2,0,,,,,,,,
asimina,reticulata,3,0,,,,,,,,
Baccaris,hamilifolia,1,1,,,,,,,,
Baccaris,hamilifolia,2,1,,,,,,,,
Baccaris,hamilifolia,3,1,,,,,,,,
balduina,angustifolia,1,1,,,,,,,,
balduina,angustifolia,2,1,,,,,,,,
balduina,angustifolia,3,1,,,,,,,,
Bambusa,Species,1,1,,,,,,,,
Bambusa,Species,2,1,,,,,,,,
Bambusa,Species,3,1,,,,,,,,
bejaria,racemosa,1,1,,,,,,,,
bejaria,racemosa,2,1,,,,,,,,
Bidens,alba,1,1,,,,,,,,
Bidens,alba,2,1,,,,,,,,
Bidens,alba,3,1,,,,,,,,
Buchnera,floridana,1,1,,,,,,,,
Buchnera,floridana,2,1,,,,,,,,
Buchnera,floridana,3,1,,,,,,,,
Calamintha,ashei,1,1,,,,,,,,
callicarpa,americana,1,0,,,,,,,,
callicarpa,americana,2,0,,,,,,,,
callicarpa,americana,3,0,,,,,,,,
carphephorus,corumbosus,1,1,,,,,,,,
carphephorus,corumbosus,2,1,,,,,,,,
carphephorus,corumbosus,3,1,,,,,,,,
Carya,floridana,1,0,,,,,,,,
Carya,floridana,2,0,,,,,,,,
Carya,floridana,3,0,,,,,,,,
catharanthus ,roseus,1,1,,,,,,,,
catharanthus ,roseus,2,1,,,,,,,,
catharanthus ,roseus,3,1,,,,,,,,
Chamaecrista,fasciculata,1,1,,,,,,,,
Chamaecrista,fasciculata,2,1,,,,,,,,
Chamaecrista,fasciculata,3,1,,,,,,,,
chapmanii,floridana,2,1,,,,,,,,
chapmanii,floridana,3,1,,,,,,,,
chapmanii,floridana,1,1,,,,,,,,
Chionanthus ,pygmaeus,1,0,,,,,,,,
Chionanthus ,pygmaeus,2,0,,,,,,,,
Chionanthus ,pygmaeus,3,0,,,,,,,,
chrysopsis,highlandsensis,1,1,,,,,,,,
chrysopsis,highlandsensis,2,1,,,,,,,,
chrysopsis,highlandsensis,3,1,,,,,,,,
Cirsium,nuttallii,1,1,,,,,,,,
Cirsium,nuttallii,2,1,,,,,,,,
Cirsium,nuttallii,3,1,,,,,,,,
clitoria,fragrans,1,0,,,,,,,,
clitoria,fragrans,2,0,,,,,,,,
clitoria,fragrans,3,0,,,,,,,,
Cnidoscolus ,stimulosus,1,1,,,,,,,,
Cnidoscolus ,stimulosus,2,1,,,,,,,,
commelina,erecta,1,1,,,,,,,,
commelina,erecta,2,1,,,,,,,,
commelina,erecta,3,1,,,,,,,,
crotalaria,pallida,1,1,,,,,,,,
crotalaria,pallida,2,1,,,,,,,,
crotalaria,pallida,3,1,,,,,,,,
Dalea,feayi,1,1,,,,,,,,
Dalea,feayi,2,,,,,,,,,
desmodium,incanum,1,0,,,,,,,,
desmodium,incanum,2,0,,,,,,,,
desmodium,incanum,3,0,,,,,,,,
dicerandra,frutescens,1,1,,,,,,,,
dicerandra,frutescens,2,1,,,,,,,,
dicerandra,frutescens,3,1,,,,,,,,
drosera,capllaris,1,1,,,,,,,,
elephantopus,elatus,1,1,,,,,,,,
elephantopus,elatus,2,1,,,,,,,,
eriogonum,longifolium,1,1,,,,,,,,
eriogonum,longifolium,2,1,,,,,,,,
eriogonum,longifolium,3,1,,,,,,,,
Eryngium,cuneifolium,1,1,,,,,,,,
Eryngium,cuneifolium,2,1,,,,,,,,
Eryngium,cuneifolium,3,1,,,,,,,,
Eryngium,aromaticum,1,1,,,,,,,,
Eryngium,aromaticum,2,1,,,,,,,,
eryngium,yuccifolium,1,1,,,,,,,,
eryngium,yuccifolium,2,1,,,,,,,,
erythrina,herbacea,1,1,,,,,,,,
erythrina,herbacea,2,1,,,,,,,,
erythrina,herbacea,3,1,,,,,,,,
euphorbia,Rosescens,1,1,,,,,,,,
euphorbia,Rosescens,2,1,,,,,,,,
euphorbia,Rosescens,3,1,,,,,,,,
euphorbia,heterophylla,1,1,,,,,,,,
euphorbia,heterophylla,2,1,,,,,,,,
