species,unit,individual,leaf.age,replicate,upper.count,lower.count,years.since.fire
serrep,38,1,new,1,88,84,0.25
serrep,38,1,new,2,78,77,0.25
serrep,38,1,old,1,73,84,0.25
serrep,38,1,old,2,68,73,0.25
serrep,38,2,new,1,78,80,0.25
serrep,38,2,new,2,68,65,0.25
serrep,38,2,old,1,37,58,0.25
serrep,38,2,old,2,64,57,0.25
serrep,38,3,new,1,83,95,0.25
serrep,38,3,new,2,84,102,0.25
serrep,38,3,old,1,71,68,0.25
serrep,38,3,old,2,72,72,0.25
serrep,38,4,new,1,73,91,0.25
serrep,38,4,new,2,84,93,0.25
serrep,38,4,old,1,64,72,0.25
serrep,38,4,old,2,64,67,0.25
serrep,38,6,new,1,84,76,0.25
serrep,38,6,new,2,87,93,0.25
serrep,38,6,old,1,94,84,0.25
serrep,38,6,old,2,97,115,0.25
serrep,38,7,new,1,82,91,0.25
serrep,38,7,new,2,92,93,0.25
serrep,38,7,old,1,72,75,0.25
serrep,38,7,old,2,94,79,0.25
serrep,38,8,new,1,90,92,0.25
serrep,38,8,new,2,98,103,0.25
serrep,38,8,old,1,95,99,0.25
serrep,38,8,old,2,94,108,0.25
serrep,38,9,new,1,100,115,0.25
serrep,38,9,new,2,94,95,0.25
serrep,38,9,old,1,98,90,0.25
serrep,38,9,old,2,103,119,0.25
serrep,38,10,new,1,71,79,0.25
serrep,38,10,new,2,68,82,0.25
serrep,38,10,old,1,59,80,0.25
serrep,38,10,old,2,61,84,0.25
serrep,30a,1,new,1,88,76,13
serrep,30a,1,new,2,86,90,13
serrep,30a,1,old,1,79,84,13
serrep,30a,1,old,2,75,80,13
serrep,30a,2,new,1,85,79,13
serrep,30a,2,new,2,90,86,13
serrep,30a,2,old,1,93,92,13
serrep,30a,2,old,2,84,84,13
serrep,30a,3,new,1,91,92,13
serrep,30a,3,new,2,80,96,13
serrep,30a,3,old,1,94,84,13
serrep,30a,3,old,2,79,71,13
serrep,30a,4,new,1,84,91,13
serrep,30a,4,new,2,84,82,13
serrep,30a,4,old,1,70,75,13
serrep,30a,4,old,2,75,78,13
serrep,30a,5,new,1,98,102,13
serrep,30a,5,new,2,96,106,13
serrep,30a,5,old,1,111,96,13
serrep,30a,5,old,2,89,105,13
serrep,30a,6,new,1,72,78,13
serrep,30a,6,new,2,65,87,13
serrep,30a,6,old,1,54,64,13
serrep,30a,6,old,2,58,68,13
serrep,30a,7,new,1,73,84,13
serrep,30a,7,new,2,88,83,13
serrep,30a,7,old,1,77,72,13
serrep,30a,7,old,2,80,74,13
serrep,30a,8,new,1,86,105,13
serrep,30a,8,new,2,114,99,13
serrep,30a,8,old,1,58,74,13
serrep,30a,8,old,2,65,86,13
serrep,30a,9,new,1,90,89,13
serrep,30a,9,new,2,80,83,13
serrep,30a,9,old,1,85,87,13
serrep,30a,9,old,2,92,89,13
serrep,30a,10,new,1,107,95,13
serrep,30a,10,new,2,98,106,13
serrep,30a,10,old,1,103,112,13
serrep,30a,10,old,2,108,95,13
serrep,30bc,1,new,1,99,105,50
serrep,30bc,1,new,2,100,96,50
serrep,30bc,1,old,1,92,90,50
serrep,30bc,1,old,2,96,95,50
serrep,30bc,2,new,1,86,93,50
serrep,30bc,2,new,2,84,79,50
serrep,30bc,2,old,1,80,90,50
serrep,30bc,2,old,2,91,83,50
serrep,30bc,3,new,1,99,102,50
serrep,30bc,3,new,2,97,96,50
serrep,30bc,3,old,1,80,95,50
serrep,30bc,3,old,2,78,86,50
serrep,30bc,4,new,1,79,82,50
serrep,30bc,4,new,2,85,89,50
serrep,30bc,4,old,1,82,83,50
serrep,30bc,4,old,2,80,79,50
